name: PyTrajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m

1.240   -> 29.50900405123967 -0.02696611641913118 1998.977851137388
1.250   -> 29.73635206456107 -0.02733382033712349 1998.9452408630777
1.260   -> 29.96362314307 -0.027703753674727917 1998.9120175610649
1.270   -> 30.190819624112653 -0.02807647823835051 1998.8781976767568
1.280   -> 30.417943885149537 -0.0284525846668536 1998.843798123263
1.290   -> 30.64499833097398 -0.028832692405882217 1998.8088362505578
1.300   -> 30.871985380464082 -0.029217449616328956 1998.7733298143723
1.310   -> 31.09890745296364 -0.029607533009838562 1998.7372969447413
1.320   -> 31.325766954388765 -0.030003647604047667 1998.7007561141234
1.330   -> 31.552566263158237 -0.03040652639011691 1998.6637261050282
1.340   -> 31.779307716047214 -0.030816929905053067 1998.6262259770838
1.350   -> 32.00599359406541 -0.031235645701348992 1998.5882750334877
1.360   -> 32.23262610846236 -0.03166348770659984 1998.549892786798
1.370   -> 32.459207386963875 -0.032101295465996584 1998.5110989240295
1.380   -> 32.68573946034444 -0.03254993326096237 1998.471913271036
1.390   -> 32.912224249441365 -0.033010289097692776 1998.4323557561738
1.400   -> 33.13866355271587 -0.03348327355999594 1998.392446373257
1.410   -> 33.365059034465794 -0.03396981852160793 1998.3522051438363
1.420   -> 33.59141221379265 -0.03447087571408602 1998.3116520788474
1.430   -> 33.81772445442279 -0.034987415147458095 1998.270807139694
1.440   -> 34.043996955478455 -0.03552042338202632 1998.2296901988523
1.450   -> 34.27023074328908 -0.03607090165107982 1998.1883210001
1.460   -> 34.4964266643262 -0.03663986383575303 1998.146719118491
1.470   -> 34.7225853793374 -0.0372283342948563 1998.1049039202142
1.480   -> 34.948707358745004 -0.03783734555418181 1998.0628945224869
1.490   -> 35.17479287936416 -0.0384679358615258 1998.0207097536547
1.500   -> 35.40084202248305 -0.039121146615436087 1997.9783681136664
1.510   -> 35.62685467333455 -0.03979801967745916 1997.9358877351137
1.520   -> 35.85283052197473 -0.04049959457938633 1997.8932863450186
1.530   -> 36.07876906556889 -0.04122690563864635 1997.8505812275587
1.540   -> 36.304669612071 -0.04198097899652338 1997.8077891879134
1.550   -> 36.5305312852676 -0.042762829595257616 1997.7649265174075
1.560   -> 36.756353031142716 -0.04357345811127705 1997.7220089601174
1.570   -> 36.982133625506876 -0.04441384786278295 1997.6790516810909
1.580   -> 37.20787168282059 -0.04528496171064539 1997.636069236313
1.590   -> 37.43356566613159 -0.04618773897204233 1997.593075544529
1.600   -> 37.659213898035674 -0.04712309236648858 1997.5500838610146
1.610   -> 37.88481457256308 -0.04809190501385122 1997.5071067533572
1.620   -> 38.110365767886776 -0.04909502750364595 1997.46415607929
1.630   -> 38.335865459744944 -0.050133275054373774 1997.4212429665954
